Adenocarcinoma in adenoma. polyposis coli|0 0 0 1 3 6 7 8 6 8 13 8 12 25 18 16 4 3 0 0
Pineoblastoma|8 6 4 5 5 3 2 2 0 1 2 2 2 2 0 1 4 0 0 0
Trichilemmocarcinoma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29
Refractory anemia|0 0 0 1 1 1 2 1 5 7 17 44 54 111 133 264 442 446 468 178
Papillary carcinoma in situ|0 0 0 0 3 3 4 4 9 18 20 44 59 97 112 125 111 169 81 89
Leiomyosarcoma, NOS|2 3 7 17 30 75 117 181 276 415 524 665 820 926 940 981 986 933 927 595
Spindle cell melanoma, NOS|0 2 2 5 11 17 16 23 26 46 55 91 136 158 161 195 237 244 387 297
Cavernous hemangioma|1 0 1 0 3 1 3 3 1 2 5 3 1 3 2 4 0 0 0 0
Ependymoma, anaplastic|24 8 6 2 2 6 1 3 5 3 4 4 2 3 1 0 0 3 0 0
Papillary carcinoma, NOS|0 6 44 191 543 799 1009 961 959 999 1085 1278 1597 1830 1763 1730 1729 1650 1539 1072
Papillary microcarcinoma|0 0 0 0 4 14 22 30 39 50 53 70 71 56 34 33 12 7 36 0
Serous papillary cystic tumor of borderline malignancy (C56.9)|0 0 1 10 37 56 81 85 86 92 85 89 79 93 113 102 56 39 18 0
ML, small B lymphocytic, NOS|3 4 3 6 14 26 43 64 127 223 381 712 1059 1477 1728 1942 2204 1916 1494 1191
Hepatocellular carcinoma, fibrolamellar|0 0 0 6 10 6 3 4 1 2 4 2 4 6 5 5 4 3 0 0
Merkel cell carcinoma|0 0 0 0 0 1 1 2 10 19 46 62 118 202 303 445 667 886 981 923
Clear cell chondrosarcoma|0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0
Squamous intraepithelial neoplasia, grade III|0 0 6 567 2193 2566 2009 1339 1056 852 663 617 540 530 441 329 296 248 189 89
Mixed germ cell tumor|5 4 21 120 267 286 247 145 89 48 35 17 9 8 5 2 4 0 0 29
Sclerosing sweat duct carcinoma|0 0 0 0 0 1 0 1 1 2 6 12 14 17 13 18 24 32 54 0
Adenocarc. in situ in mult. adenomatous polyps|0 0 0 0 0 0 1 0 0 0 1 2 10 4 11 6 10 7 9 29
Craniopharyngioma|4 4 0 2 1 2 2 0 3 3 6 3 4 3 0 5 8 3 0 0
Adenocarcinoma in mult. adenomatous polyps|0 0 0 0 1 1 1 0 1 5 9 5 17 28 19 32 28 18 0 29
Spindle cell melanoma, type A|0 0 0 1 0 0 0 0 1 1 1 4 6 6 3 6 2 10 0 0
Verrucous carcinoma, NOS|0 0 0 0 1 5 12 14 22 37 66 118 194 220 265 263 456 417 432 387
Endometrial stromal sarcoma|0 0 0 1 2 8 19 28 46 72 65 71 73 83 88 83 73 75 63 29
Epithelioid leiomyosarcoma|0 0 0 2 2 4 4 8 11 24 26 41 55 58 74 51 64 64 18 0
Papillary ependymoma|1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
Papillary carcinoma, oxyphilic cell|0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
Venous hemangioma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
ML, large B-cell, diffuse, immunoblastic, NOS|2 5 5 18 37 63 123 142 148 150 159 248 372 498 579 644 673 666 360 506
Neurofibroma, NOS|0 0 0 0 2 1 0 2 0 1 1 0 2 1 1 1 0 0 0 0
Neurofibromatosis, NOS|3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Glioma, malignant|150 153 96 47 45 56 63 66 62 74 107 149 205 281 309 349 485 486 270 119
ML, lymphoplasmacytic|0 0 0 1 2 4 7 11 22 31 58 93 135 181 204 260 322 288 252 178
Hepatocellular carcinoma, scirrhous|0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 2 0 0 0
Oxyphilic adenocarcinoma|0 0 1 3 8 26 25 51 50 70 95 101 137 175 163 189 180 205 90 89
Malignant peripheral nerve sheath tumor|2 4 12 19 28 27 23 23 31 21 34 36 50 39 53 59 52 79 27 59
Papillary cystadenocarcinoma, NOS|0 0 0 1 9 9 16 19 29 57 93 136 159 147 162 141 121 129 45 119
Dedifferentiated chondrosarcoma|0 0 0 0 0 0 0 0 0 2 3 3 0 4 4 6 18 0 0 0
Squamous cell carcinoma with horn formation|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Chondroblastoma, malignant|0 0 2 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Eccrine papillary adenocarcinoma|0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0
Fibrosarcoma, NOS|9 6 13 22 30 34 35 34 31 39 56 67 110 105 115 143 158 158 72 29
Myxopapillary ependymoma|0 1 1 2 2 7 5 3 4 7 6 8 0 1 6 2 0 0 0 0
Adamantinomatous craniopharyngioma|2 2 1 0 0 0 0 0 1 3 1 2 0 0 0 1 0 3 0 0
Peripheral neuroectodermal tumor|3 5 6 12 5 7 6 6 4 3 4 5 5 7 3 8 2 14 0 0
Sertoli cell carcinoma|0 0 0 1 1 0 0 0 1 1 1 0 1 0 2 1 0 3 0 0
Refractory anemia with sideroblasts|0 0 0 0 0 1 1 3 3 4 12 29 39 73 113 216 381 320 360 119
Follicular lymphoma, grade 3|0 1 1 3 5 20 33 48 84 128 177 302 385 486 513 506 564 554 297 148
Papillary squamous cell carcinoma, non-invasive|0 0 0 0 0 0 1 0 1 3 8 8 13 12 15 14 18 7 0 0
Endometrial stromal sarcoma, low grade|0 0 0 0 0 1 5 8 15 31 22 9 7 5 6 5 8 10 0 0
Dysgerminoma|0 7 23 71 73 96 67 37 23 30 29 16 19 10 7 14 6 3 0 0
Spindle cell melanoma, type B|0 0 0 1 3 3 12 6 11 21 34 43 52 54 73 40 54 28 45 0
Papillary squamous cell carcinoma|0 0 0 0 2 3 8 6 14 29 41 56 99 129 100 112 133 118 189 178
Papillary carcinoma, encapsulated|0 0 0 0 1 4 3 8 6 8 7 5 6 7 2 2 0 0 0 0
Fibrillary astrocytoma|21 17 16 11 22 28 40 25 26 24 31 33 53 67 54 31 16 18 0 0
Mal. melanoma in giant pigmented nevus|2 0 1 0 4 2 6 8 11 11 13 17 10 13 11 9 4 7 0 0
Melanotic neurofibroma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gliomatosis cerebri|0 0 0 0 0 1 0 0 0 1 1 1 1 7 7 5 10 0 0 0
Hepatocellular carcinoma, spindle cell variant|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0
Follicular adenocarcinoma, NOS|0 1 12 37 93 144 178 172 180 199 204 242 304 327 327 303 271 273 189 119
Papillary cystadenoma, borderline malignancy (C56.9)|0 0 0 1 2 3 3 3 5 3 5 6 1 7 2 1 0 0 0 0
Mesonephroma, malignant|0 0 0 0 2 2 1 0 3 10 16 14 16 9 12 13 6 3 0 0
Atypical carcinoid tumor|0 0 0 0 0 0 1 0 2 5 6 5 7 18 14 10 14 14 0 0
Cholangiocarcinoma|0 0 0 0 2 8 10 34 56 96 165 304 421 629 782 1010 1366 1484 1566 1370
Prolymphocytic leukemia, NOS|0 0 0 1 1 0 0 0 2 3 6 14 32 46 46 78 69 82 153 29
Lobular carcinoma in situ|0 0 0 0 1 10 48 184 628 1227 1250 1039 974 874 620 464 379 270 99 119
Lobular carcinoma, NOS|0 0 0 0 3 29 101 306 840 1665 2131 2851 3880 4805 5115 5403 5732 5454 4836 3097
Fibromyxosarcoma|1 0 3 2 4 7 8 7 12 15 14 15 16 33 24 32 26 28 27 59
Myxoid chondrosarcoma|0 0 1 1 1 5 7 6 8 10 12 8 16 23 15 16 6 32 0 0
Eccrine poroma, malignant|0 0 0 0 0 0 0 0 0 1 3 1 2 7 4 9 26 14 36 29
Papillary craniopharyngioma|0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
Askin tumor|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Parosteal osteosarcoma|0 0 7 8 13 7 7 5 1 1 2 1 3 1 1 0 0 3 0 0
Adenocarcinoma in situ in adenomatous polyp|0 0 0 1 3 6 15 30 69 134 369 595 1089 1454 1545 1661 1493 1296 828 327
Marginal zone B-cell lymphoma, NOS|0 0 1 3 9 19 27 46 66 139 189 295 366 501 667 730 848 925 522 327
Refractory anemia with excess blasts|0 1 0 1 0 0 1 3 6 13 21 38 72 96 157 248 373 378 243 119
Adenocarcinoma in adenomatous polyp|0 0 0 1 7 15 35 75 165 355 866 1524 2603 3698 4094 4328 4597 4063 3124 1757
Seminoma, NOS|0 0 1 40 347 840 1071 923 712 470 301 205 139 102 59 49 26 32 27 0
Papillary carcinoma, columnar cell|0 0 0 0 0 1 3 4 4 5 5 4 12 9 12 10 8 10 27 29
Pilocytic astrocytoma|171 154 141 96 61 49 26 21 21 17 17 14 17 12 12 8 6 7 0 0
Mixed glioma|17 12 11 19 30 47 66 49 62 51 50 52 49 56 27 28 4 18 0 0
Hepatocellular carcinoma, clear cell type|0 0 0 0 0 0 0 0 0 2 4 5 4 8 4 9 18 10 18 0
Follicular adenocarcinoma well diff.|0 0 0 4 18 28 30 23 18 26 24 29 25 36 31 27 28 14 18 29
Mantle cell lymphoma|0 0 0 0 3 3 12 15 40 77 154 243 338 479 516 599 596 515 432 327
Ganglioneuroma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Kupffer cell sarcoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Bile duct cystadenocarcinoma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 0 0 0
Solid pseudopapillary carcinoma|0 0 0 0 0 0 0 0 1 3 0 2 1 0 0 1 0 0 0 0
Prolymphocytic leukemia, B-cell type|0 0 0 0 0 0 0 0 0 0 0 2 4 3 4 5 10 14 9 29
Malignant cystic nephroma|0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 2 0 0 0 0
Ganglioneuroblastoma|113 22 6 4 3 1 1 0 0 0 0 1 2 3 1 4 0 0 0 0
Lymphoid leukemia, NOS|7 6 3 5 2 2 3 7 8 24 32 58 72 119 146 179 274 342 414 536
Infiltrating ductular carcinoma|0 0 0 0 0 0 8 18 23 38 54 83 108 139 108 99 89 126 90 89
Periosteal fibrosarcoma|0 0 0 0 1 1 0 0 0 0 0 2 1 5 3 0 0 0 0 0
Periosteal osteosarcoma|0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Refract. anemia with excess blasts in transformation|0 0 0 0 0 0 0 0 1 0 1 4 8 6 15 24 36 28 0 0
Osteosarcoma, NOS|8 59 178 192 76 44 38 26 23 31 34 51 79 91 78 116 75 90 72 89
Adenosarcoma|0 0 0 0 3 4 6 10 15 20 25 32 40 59 42 51 30 36 45 0
Angiomyosarcoma|0 0 0 0 0 1 0 0 0 0 1 0 3 2 2 2 4 3 0 0
Subependymoma|0 0 0 0 0 1 1 1 2 4 1 5 2 1 1 1 2 3 0 0
Seminoma, anaplastic|0 0 0 4 18 54 60 49 37 27 18 14 21 14 7 10 8 3 0 0
Tubular adenocarcinoma|0 0 0 0 0 2 13 49 159 351 485 573 764 899 903 888 846 562 423 148
Ovarian stromal tumor, mal.|0 0 0 1 2 1 0 1 1 2 0 1 6 0 4 5 0 3 0 0
Medullary carcinoma with amyloid stroma|0 5 11 10 15 26 34 32 39 38 54 67 78 84 86 72 66 28 27 0
Burkitt lymphoma, NOS|44 77 70 49 38 49 64 64 66 57 54 65 50 68 82 86 93 104 36 89
Small cell carcinoma, NOS|2 0 1 6 16 28 43 124 364 906 2126 4622 7602 10105 10377 9588 7534 4542 2278 744
Acidophil adenoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Alveolar rhabdomyosarcoma|32 27 29 33 16 6 5 4 3 2 1 5 6 3 1 6 4 3 9 0
Follicular adenocarcinoma trabecular|0 0 0 1 3 4 4 3 7 6 11 11 11 9 12 6 0 7 18 0
Hepatocellular carcinoma, pleomorphic type|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Meningioma, NOS|1 1 1 2 7 20 36 60 92 148 202 304 359 404 520 629 945 1300 1242 1459
Mycosis fungoides|1 3 4 10 22 41 56 79 100 150 187 284 365 436 449 386 454 353 234 238
Hodgkin granuloma [obs]|0 0 0 0 2 0 2 0 0 1 0 4 0 2 4 4 6 0 0 0
Klatskin tumor|0 0 0 0 0 1 0 1 0 9 15 19 25 46 72 101 135 198 198 119
Intraductal papillary-mucinous carcinoma, non-inv.|0 0 0 0 0 0 0 0 0 0 2 3 4 5 5 14 8 3 0 0
Meningiomatosis, NOS|0 0 0 0 0 0 0 0 0 1 1 2 1 6 5 8 4 21 9 0
Acidophil carcinoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
Intraductal papillary-mucinous carcinoma, invasive|0 0 0 0 0 0 0 0 0 1 0 2 5 10 7 5 6 0 0 0
Prolymphocytic leukemia, T-cell type|0 0 0 0 0 0 0 0 0 2 2 3 3 6 11 5 8 21 9 0
Intraductal and lobular in situ carcinoma|0 0 0 0 0 2 12 36 136 262 305 284 276 273 270 210 166 111 81 59
Meningioma, malignant|2 1 1 3 2 5 12 15 21 27 42 71 90 104 152 143 127 100 162 119
Infiltrating duct and lobular carcinoma|0 0 0 0 2 23 129 316 727 1338 1637 2038 2484 2772 2844 2909 2912 2348 1711 1250
Cystadenocarcinoma, NOS|0 0 0 2 3 3 13 14 31 39 65 103 127 138 124 148 186 216 306 178
Fascial fibrosarcoma|0 0 0 0 0 1 1 1 0 1 2 3 5 3 3 2 2 7 18 0
High grade surface osteosarcoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Spermatocytic seminoma|0 0 0 0 2 4 4 4 4 8 6 5 11 13 6 14 16 7 9 29
Refractory cytopenia with multilineage dysplasia|0 0 0 0 0 0 0 1 2 3 5 14 32 38 60 93 144 126 81 29
Sarcoma, NOS|15 9 24 28 42 51 45 60 69 86 132 201 273 334 353 443 604 684 693 774
Chondrosarcoma, NOS|1 0 12 31 39 59 72 58 71 93 102 124 178 162 180 160 140 158 117 119
Myosarcoma|1 0 0 0 1 1 0 0 1 2 2 2 3 3 4 5 2 10 9 0
Supependymal giant cell astrocytoma|1 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Chondroblastic osteosarcoma|1 3 19 27 17 8 7 5 4 4 4 4 6 4 5 4 6 3 18 0
Carcinofibroma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
Precursor cell lymphoblastic lymphoma, NOS|34 41 44 43 41 38 39 22 17 20 15 29 40 45 51 48 66 46 36 0
Androblastoma, malignant|0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0
Mixed medullary-follicular carcinoma|0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
Mesothelioma, malignant|0 0 0 2 4 8 16 21 40 80 154 306 519 775 991 1149 1264 976 720 238
Oat cell carcinoma|0 0 0 0 0 4 11 37 150 370 871 1852 3004 3759 3323 2474 1729 875 432 89
Rhabdomyosarcoma with ganglionic differentiation|1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Polar spongioblastoma|0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 9 0
Anaplastic large cell lymphoma, T-cell and Null cell type|4 8 18 22 12 18 28 26 34 29 36 57 63 77 100 87 109 122 135 29
ML, mixed sm. and lg. cell, diffuse|0 3 4 9 19 28 35 51 80 96 161 282 469 572 726 772 811 814 729 297
Fetal adenocarcinoma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Meningothelial meningioma|0 0 0 0 0 2 6 7 13 23 25 26 36 42 34 29 34 36 9 0
Gangliocytoma|0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Protoplasmic astrocytoma|4 0 0 2 4 6 7 2 3 2 2 5 6 1 2 2 2 0 0 0
Hodgkin sarcoma [obs]|0 0 0 0 0 0 0 0 0 2 0 1 1 1 5 6 2 3 0 0
Granular cell carcinoma|0 0 0 0 1 1 7 8 17 30 43 81 127 128 155 179 164 90 54 0
Sezary syndrome|0 0 0 0 0 0 0 1 1 2 3 9 11 14 16 20 38 28 9 29
Precursor cell lymphoblastic leukemia, NOS|1537 725 423 329 199 149 135 103 93 106 136 172 236 255 274 302 422 446 378 625
Islet cell carcinoma|0 0 0 2 5 7 14 15 27 43 56 77 105 121 113 102 40 54 27 29
Mesenchymoma, malignant|6 4 3 1 3 2 2 2 4 4 5 11 13 18 21 20 22 7 9 0
Infiltr. duct mixed with other types of carcinoma, in situ|0 0 0 0 0 7 15 57 242 390 450 625 603 618 591 618 558 410 243 59
Serous cystadenocarcinoma, NOS|0 0 0 2 8 21 30 46 102 208 299 467 698 763 725 678 665 389 324 89
Choriocarcinoma|0 0 3 46 82 98 67 40 24 28 12 9 8 10 5 2 6 0 9 0
Infiltr. duct mixed with other types of carcinoma|0 0 0 0 0 6 14 37 86 169 181 258 340 324 354 437 464 432 468 327
Infantile fibrosarcoma|26 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Intratubular malignant germ cells|0 0 1 0 1 3 1 1 0 0 0 0 0 0 0 1 0 0 0 0
Medullary carcinoma, NOS|0 0 5 2 17 98 226 308 390 502 541 626 688 684 579 482 460 450 342 148
Juxtacortical chondrosarcoma|0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 2 0 0 0
Germinoma|2 12 42 58 60 44 34 30 22 20 10 11 8 7 3 5 2 0 0 0
Myelodysplastic syndr. with 5q deletion syndrome|0 0 0 0 0 0 0 0 0 0 2 2 8 11 16 32 50 54 27 89
Spindle cell sarcoma|2 4 3 8 14 12 17 18 28 25 55 82 89 98 120 168 172 190 153 148
Fibroblastic osteosarcoma|0 1 7 9 8 5 2 2 2 6 2 5 3 4 4 2 0 3 0 0
Stromal sarcoma, NOS|0 0 0 0 1 1 1 5 8 13 13 15 18 19 19 25 14 25 36 29
Myxoid leiomyosarcoma|0 0 0 0 0 1 1 2 4 6 9 6 6 13 10 8 2 10 9 0
Sertoli-Leydig cell tumor, poorly differentiated|0 0 0 5 3 1 0 0 0 0 1 2 0 1 3 4 6 0 0 0
Mixed medullary-papillary carcinoma|0 0 0 0 0 0 0 0 1 3 0 0 5 2 0 0 0 3 0 0
Precursor B-cell lymphoblastic lymphoma|5 4 5 2 2 0 1 0 0 0 0 3 2 0 1 0 0 7 0 0
Splenic marginal zone B-cell lymphoma|0 0 0 0 0 0 0 1 1 6 10 18 23 28 29 49 54 39 36 0
Acute monocytic leukemia|43 9 13 21 20 24 20 24 33 48 66 93 148 203 212 295 336 356 297 208
Small cell carcinoma, fusiform cell|0 0 0 0 0 0 0 0 0 2 4 9 11 20 15 5 10 7 0 0
Pleomorphic xanthoastrocytoma|1 2 9 9 6 3 4 1 1 2 2 2 1 3 1 0 0 0 0 0
Fibrous mesothelioma, malignant|0 0 0 0 0 0 1 3 4 6 14 19 52 88 97 126 129 79 72 0
Adenoid cystic carcinoma|0 0 2 7 23 38 62 87 110 156 215 275 341 378 420 336 357 407 261 268
Chronic myeloproliferative disease, NOS|1 0 0 0 1 1 2 6 6 18 23 30 54 83 109 174 235 216 189 148
Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)|0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
Giant cell and spindle cell carcinoma|0 0 0 0 0 0 0 3 2 9 16 20 28 31 42 32 36 50 27 29
Gemistocytic astrocytoma|2 0 0 0 4 10 24 24 23 23 23 25 37 46 40 29 16 10 0 0
Fibrous meningioma|0 0 0 0 0 0 4 2 5 8 13 17 13 19 10 13 10 7 0 0
Mature T-cell lymphoma, NOS|4 5 7 6 11 14 19 27 32 43 55 91 136 150 180 179 267 219 153 148
Hodgkin lymphoma, nodular sclerosis, NOS|6 46 243 721 1135 1083 788 490 348 271 249 282 276 337 278 280 249 208 198 178
Ameloblastic odontosarcoma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Precursor B-cell lymphoblastic leukemia|183 72 43 34 20 16 15 13 13 17 20 28 25 30 28 25 10 32 0 0
Solitary fibrous tumor|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Serous cystadenoma, borderline malignancy (C56.9)|0 0 0 9 20 38 39 50 58 57 57 61 62 78 71 58 42 39 54 0
Hodgkin lymphoma, NOS|2 9 28 86 163 163 132 109 94 94 111 142 191 225 252 271 292 288 207 119
Insulinoma, malignant|0 0 0 0 1 0 0 0 2 0 2 2 0 3 7 6 6 0 9 0
Embryonal sarcoma|3 3 2 2 1 0 1 0 0 0 0 0 0 1 0 0 0 3 0 0
B-cell chr. lymph. leuk./small lymphocytic lymphoma|1 0 0 0 2 7 36 79 206 476 1047 2066 3435 4746 5690 6464 7804 8642 9122 8697
Choriocarcinoma combined w/ other germ cell elements|0 0 2 29 77 77 49 20 13 9 4 3 0 2 0 0 0 0 0 0
Infiltrating lobular mixed with other types of carc.|0 0 0 0 0 0 0 1 13 24 38 46 80 85 59 83 56 64 108 59
Solitary fibrous tumor, malignant|0 0 0 0 0 1 0 1 0 3 2 5 12 4 7 4 8 3 0 0
Cerebellar sarcoma, NOS|0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
Germ cell tumor, nonseminomatous|0 0 0 6 12 12 8 7 2 2 0 0 0 0 0 0 0 0 0 0
Therapy-related myelodysplastic syndrome, NOS|1 0 0 0 0 1 0 2 1 2 2 8 9 6 14 27 20 18 27 0
Giant cell sarcoma|0 0 1 1 2 3 2 6 7 12 14 31 33 49 46 56 64 100 99 89
Skin appendage carcinoma|0 0 1 1 3 3 6 8 9 20 23 34 40 56 75 78 103 82 72 29
Gastrointestinal stromal sarcoma|0 0 0 1 4 9 13 18 33 62 83 126 137 150 180 222 255 194 180 89
Telangiectatic osteosarcoma|1 2 6 4 3 1 1 0 0 0 1 0 0 2 1 0 6 0 0 0
Epithel. mesothelioma, mal.|0 0 0 0 1 2 2 4 9 28 47 113 160 198 236 302 284 198 63 89
Precursor T-cell lymphoblastic lymphoma|5 6 6 6 5 5 4 1 4 7 1 2 4 1 5 2 0 3 0 29
Cribriform carcinoma in situ|0 0 0 0 0 1 4 33 122 202 287 325 351 340 364 363 310 219 117 119
Gynandroblastoma, malignant|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Desmoplastic infantile astrocytoma|1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cribriform carcinoma|0 0 0 0 1 1 5 9 18 37 42 55 82 115 144 202 178 133 126 178
Small cell carcinoma, intermediate cell|0 0 0 0 0 0 1 4 8 27 72 138 244 359 312 321 251 122 27 29
Lymphangiosarcoma|0 0 0 0 0 0 0 0 0 1 1 2 1 2 9 6 14 7 9 0
Myelosclerosis with myeloid metaplasia|0 0 0 0 0 1 1 3 4 7 17 25 36 62 65 108 140 100 45 29
Hepatosplenic gamma-delta cell lymphoma|0 0 0 0 2 0 1 1 0 0 0 0 1 2 0 1 0 0 0 0
Thymoma, malignant, NOS|0 1 1 2 11 16 19 24 32 52 54 91 98 119 94 91 69 54 9 0
Follicular carcinoma, minimally invasive|0 0 0 3 7 7 12 12 17 22 19 17 13 13 18 12 6 14 0 0
Ameloblastic fibrosarcoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
Psammomatous meningioma|0 0 0 0 0 0 1 2 1 7 5 16 15 14 18 24 22 10 9 0
Giant cell carcinoma|0 0 0 0 0 0 1 6 12 41 56 93 144 188 186 172 148 72 81 29
Chromophobe adenoma|0 0 0 0 0 0 0 1 0 1 1 2 2 2 1 1 0 0 0 0
Embryonal rhabdomyosarcoma|132 82 41 53 21 10 9 5 6 3 2 9 7 9 6 2 8 3 0 29
Hodgkin lymphoma, nod. scler., cellular phase|0 6 9 24 44 33 26 18 17 17 12 20 31 31 14 14 20 21 18 0
Water-clear cell adenocarcinoma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Mal. melanoma in junctional nevus|0 0 1 2 15 15 9 12 15 15 29 27 30 24 22 24 28 25 9 0
Precursor T-cell lymphoblastic leukemia|8 8 14 10 3 4 2 1 3 4 3 0 0 3 2 2 2 3 0 0
